command,mean,stddev,median,user,system,min,max,parameter_alg,parameter_puzzle
./sudoku_solver --simple ../inputs/easy.dat,0.0036612005230000073,0.0011070994905130601,0.0043236865,0.002430802200000002,0.0010381216499999973,0.001225945,0.008231215,simple,easy
./sudoku_solver --smart ../inputs/easy.dat,0.0030469994802499816,0.0006440641140172449,0.0032850460000000002,0.001893903750000007,0.000944820799999998,0.000952158,0.004035421,smart,easy
./sudoku_solver --simple ../inputs/medium.dat,0.004430449220299998,0.0016119464429329286,0.003989152,0.003594184699999989,0.0006919323500000023,0.002616062,0.008135491,simple,medium
./sudoku_solver --smart ../inputs/medium.dat,0.0033484382148000103,0.0007268193752389666,0.0036476040000000005,0.0021043597500000066,0.0010378067,0.001042551,0.004380313,smart,medium
./sudoku_solver --simple ../inputs/hard.dat,0.004516565534449993,0.0015949946022236778,0.004247912,0.003723878200000002,0.0006542428000000018,0.002232393,0.008622976000000001,simple,hard
./sudoku_solver --smart ../inputs/hard.dat,0.0034659940261000093,0.0007758698294300225,0.0037872735000000005,0.0022094336499999924,0.0010503383499999995,0.001045371,0.004893402000000001,smart,hard
./sudoku_solver --simple ../inputs/evil.dat,0.041619970406549904,0.00043491473965505536,0.041572539000000006,0.04098458679999981,0.0004889829499999997,0.033307024000000005,0.054134430000000004,simple,evil
./sudoku_solver --smart ../inputs/evil.dat,0.007127342726100024,0.0018944626296386728,0.0061854710000000005,0.006514057400000009,0.0005010698500000012,0.0048062700000000005,0.016858763000000002,smart,evil
